id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
16748,indianapolis,2012,ford,good,6 cylinders,gas,59360,clean,manual,fwd,compact,truck,white,,9408
16749,pittsburgh,1996,mercury,fair,4 cylinders,gas,204189,clean,manual,fwd,mid-size,sedan,silver,pa,2173
16750,los angeles,2009,ford,good,8 cylinders,diesel,184527,clean,automatic,rwd,full-size,sedan,black,ca,22069
16751,bozeman,2011,toyota,excellent,6 cylinders,gas,174927,clean,automatic,fwd,mid-size,SUV,silver,,3588
16752,chico,2010,dodge,excellent,6 cylinders,electric,14620,clean,automatic,4wd,full-size,SUV,black,ca,21362
16753,seattle-tacoma,2013,subaru,excellent,4 cylinders,gas,111104,clean,automatic,fwd,full-size,SUV,white,wa,9303
16754,charlotte,2014,toyota,excellent,6 cylinders,gas,138639,clean,automatic,fwd,compact,van,blue,nc,6736
16755,hudson valley,1998,chevrolet,fair,6 cylinders,gas,188715,clean,manual,fwd,mid-size,SUV,green,ny,1350
16756,milwaukee,2017,kia,excellent,4 cylinders,gas,107589,clean,other,fwd,mid-size,sedan,silver,wi,13271
16757,central NJ,2011,nissan,excellent,4 cylinders,,46017,clean,other,fwd,mid-size,sedan,grey,nj,6830
16758,richmond,2010,buick,excellent,6 cylinders,gas,83025,clean,automatic,fwd,mid-size,coupe,black,va,5315
16759,richmond,1960,bmw,excellent,6 cylinders,gas,28604,clean,manual,rwd,full-size,coupe,custom,va,33064
16760,erie,2006,bmw,fair,6 cylinders,gas,129393,rebuilt,manual,fwd,mid-size,sedan,red,pa,3888
16761,syracuse,2008,jeep,good,6 cylinders,gas,320236,clean,manual,4wd,full-size,truck,red,ny,5573
16762,columbus,2014,nissan,good,4 cylinders,gas,92309,rebuilt,automatic,fwd,compact,sedan,black,,8431
16763,albany,2011,chevrolet,excellent,6 cylinders,gas,50760,rebuilt,automatic,4wd,mid-size,SUV,black,ny,10050
16764,knoxville,2002,chevrolet,good,4 cylinders,gas,187462,salvage,automatic,fwd,mid-size,SUV,grey,tn,8659
16765,denver,2007,mercedes-benz,excellent,6 cylinders,gas,55388,clean,automatic,fwd,mid-size,coupe,silver,co,17755
16766,western slope,2013,bmw,excellent,6 cylinders,gas,28619,,automatic,rwd,full-size,,grey,co,8300
16767,st george,2009,chevrolet,excellent,8 cylinders,diesel,94676,clean,manual,4wd,full-size,truck,black,ut,10807
16768,albany,1995,ford,good,8 cylinders,gas,4647,rebuilt,automatic,rwd,mid-size,truck,blue,ny,46372
16769,greenville / upstate,2015,ford,like new,8 cylinders,gas,38047,clean,automatic,4wd,full-size,pickup,blue,sc,34139
16770,nashville,1999,chevrolet,excellent,8 cylinders,gas,118415,clean,automatic,rwd,full-size,pickup,silver,tn,10126
16771,detroit metro,2010,volkswagen,excellent,4 cylinders,gas,71334,rebuilt,automatic,fwd,mid-size,sedan,blue,mi,4978
16772,new haven,1999,toyota,excellent,6 cylinders,gas,180947,clean,automatic,fwd,full-size,SUV,black,ct,19536
16773,nashville,1999,ford,excellent,6 cylinders,gas,200784,clean,automatic,fwd,mid-size,van,silver,tn,23390
16774,louisville,2013,audi,excellent,6 cylinders,gas,102352,clean,automatic,4wd,mid-size,SUV,black,ky,10523
16775,asheville,2006,ford,excellent,6 cylinders,gas,185535,clean,automatic,fwd,full-size,sedan,white,,7400
16776,richmond,2005,ford,good,8 cylinders,gas,102641,clean,automatic,rwd,full-size,truck,white,va,17405
16777,orange county,2009,ford,good,6 cylinders,gas,177432,clean,automatic,4wd,full-size,truck,green,ca,6275
16778,milwaukee,2010,buick,good,4 cylinders,gas,149627,clean,automatic,fwd,full-size,sedan,black,wi,5254
16779,norfolk / hampton roads,2013,subaru,excellent,4 cylinders,gas,105348,clean,automatic,fwd,mid-size,SUV,white,va,8972
16780,new york city,2012,kia,like new,4 cylinders,gas,107234,rebuilt,automatic,fwd,full-size,sedan,black,ny,6591
16781,prescott,1987,mitsubishi,like new,4 cylinders,gas,80804,rebuilt,manual,fwd,compact,coupe,green,az,9771
16782,orlando,2017,dodge,excellent,6 cylinders,,79819,clean,automatic,fwd,mid-size,SUV,blue,fl,14845
16783,des moines,2017,mitsubishi,good,4 cylinders,gas,54509,clean,automatic,fwd,compact,sedan,blue,ia,11020
16784,bozeman,2014,toyota,good,4 cylinders,gas,187188,clean,automatic,fwd,full-size,SUV,silver,mt,7060
16785,albany,1992,jeep,excellent,4 cylinders,gas,123379,clean,automatic,4wd,full-size,SUV,black,ny,8670
16786,los angeles,2010,bmw,excellent,6 cylinders,gas,150000,clean,automatic,fwd,mid-size,SUV,red,ca,7692
16787,san antonio,2011,BMW,excellent,6 cylinders,gas,76882,clean,automatic,rwd,full-size,coupe,black,,20129
16788,boise,2010,jeep,like new,6 cylinders,gas,109326,clean,automatic,4wd,full-size,SUV,white,id,20132
16789,central NJ,2005,ford,fair,8 cylinders,gas,176808,clean,automatic,fwd,full-size,truck,black,nj,4680
16790,rhode island,1999,toyota,excellent,6 cylinders,gas,164141,clean,automatic,fwd,full-size,SUV,blue,ri,4580
16791,ventura county,2018,chevrolet,excellent,6 cylinders,gas,37893,clean,automatic,fwd,mid-size,sedan,grey,ca,22015
16792,wausau,1986,jeep,good,6 cylinders,gas,231687,clean,automatic,rwd,full-size,SUV,brown,wi,6873
16793,mobile,2013,chevrolet,good,4 cylinders,gas,91640,rebuilt,manual,fwd,full-size,truck,black,al,8086
16794,el paso,2006,ford,excellent,4 cylinders,gas,161164,clean,manual,fwd,mid-size,sedan,blue,tx,7831
16795,jacksonville,2016,toyota,excellent,4 cylinders,gas,283072,rebuilt,automatic,fwd,mid-size,hatchback,red,fl,8510
16796,chicago,2001,FORD,good,8 cylinders,gas,185961,clean,automatic,4wd,full-size,pickup,green,il,2643
16797,raleigh / durham / CH,2014,chevrolet,excellent,8 cylinders,gas,71677,clean,automatic,4wd,full-size,SUV,black,,6978
16798,st cloud,2013,ford,excellent,4 cylinders,gas,169134,clean,automatic,fwd,full-size,sedan,silver,mn,9577
16799,rochester,2002,JEEP,excellent,6 cylinders,gas,97598,clean,automatic,fwd,mid-size,SUV,blue,ny,21400
16800,knoxville,2013,ford,excellent,4 cylinders,gas,26910,clean,automatic,4wd,full-size,SUV,black,tn,9958
16801,fredericksburg,2009,ford,excellent,8 cylinders,gas,177912,clean,automatic,4wd,full-size,pickup,black,va,36318
16802,little rock,2007,mazda,excellent,4 cylinders,gas,147853,clean,automatic,fwd,mid-size,sedan,blue,ar,7800
16803,yuba-sutter,2012,chevrolet,excellent,8 cylinders,gas,34700,clean,automatic,4wd,mid-size,pickup,black,ca,29791
16804,fort wayne,2012,dodge,excellent,6 cylinders,gas,123995,lien,automatic,fwd,mid-size,SUV,black,in,9495
16805,sacramento,2013,dodge,excellent,6 cylinders,,134597,clean,automatic,fwd,mid-size,sedan,blue,,7764
16806,long island,2009,ford,excellent,8 cylinders,gas,179185,clean,manual,fwd,full-size,SUV,white,ny,22342
16807,boise,2014,honda,excellent,4 cylinders,gas,84969,clean,automatic,fwd,compact,hatchback,blue,,8242
16808,syracuse,2010,ford,excellent,4 cylinders,gas,114404,clean,automatic,fwd,mid-size,sedan,blue,ny,15902
16809,el paso,2016,chevrolet,like new,6 cylinders,,46274,clean,automatic,rwd,full-size,pickup,green,tx,28705
16810,richmond,2016,bmw,excellent,6 cylinders,gas,71482,clean,automatic,fwd,mid-size,coupe,silver,va,21372
16811,maine,2016,chevrolet,excellent,8 cylinders,diesel,144719,clean,automatic,4wd,full-size,truck,grey,,23315
16812,rhode island,2014,chevrolet,excellent,4 cylinders,gas,35498,clean,automatic,4wd,fullーsize,SUV,black,ri,23791
16813,northern michigan,2009,ｆｏｒｄ,good,8 cylinders,diesel,90040,clean,automatic,fwd,full-size,truck,black,mi,6155
16814,santa barbara,2013,chevrolet,excellent,6 cylinders,gas,81646,clean,automatic,rwd,full-size,coupe,black,ca,13684
16815,detroit metro,2012,bmw,excellent,6 cylinders,gas,78408,clean,automatic,rwd,compact,sedan,blue,mi,6659
16816,norfolk / hampton roads,1997,volkswagen,good,4 cylinders,gas,133907,clean,manual,fwd,compact,hatchback,brown,va,3428
16817,tucson,2016,chevrolet,excellent,6 cylinders,gas,8133,rebuilt,automatic,rwd,full-size,sedan,black,az,21455
16818,south jersey,2006,DODGE,excellent,6 cylinders,gas,96749,clean,automatic,fwd,mid-size,sedan,black,nj,8622
16819,new hampshire,2012,ford,excellent,4 cylinders,gas,160502,salvage,automatic,fwd,mid-size,coupe,blue,nh,9302
16820,syracuse,2013,subaru,excellent,4 cylinders,gas,103769,rebuilt,manual,fwd,mid-size,offroad,black,,20838
16821,minneapolis / st paul,2013,buick,like new,6 cylinders,gas,134996,clean,automatic,fwd,mid-size,sedan,blue,mn,14851
16822,binghamton,1995,ford,good,8 cylinders,gas,126075,rebuilt,automatic,rwd,full-size,truck,white,ny,3750
16823,la crosse,2003,audi,excellent,6 cylinders,gas,174648,rebuilt,manual,rwd,full-size,sedan,white,wi,7427
16824,st cloud,2008,jeep,excellent,6 cylinders,gas,159124,clean,automatic,4wd,mid-size,SUV,red,mn,6732
16825,new orleans,2011,buick,excellent,4 cylinders,gas,103822,clean,automatic,fwd,compact,SUV,black,la,20740
16826,rhode island,2015,ram,excellent,8 cylinders,diesel,438,clean,automatic,4wd,full-size,truck,white,ri,55369
16827,el paso,2014,kia,excellent,4 cylinders,gas,138973,rebuilt,automatic,fwd,mid-size,sedan,black,tx,6495
16828,reno / tahoe,1996,ford,good,8 cylinders,gas,177516,clean,manual,4wd,full-size,SUV,black,ca,2251
16829,rockford,2008,acura,good,4 cylinders,gas,120990,clean,automatic,fwd,compact,sedan,green,il,6561
16830,richmond,2015,ram,like new,6 cylinders,diesel,24493,,automatic,4wd,full-size,,black,,20198
16831,cleveland,2011,buick,excellent,6 cylinders,gas,99566,clean,automatic,fwd,full-size,SUV,blue,oh,15806
16832,myrtle beach,2013,ford,excellent,6 cylinders,gas,109712,clean,automatic,rwd,mid-size,SUV,silver,sc,9126
16833,sioux city,1983,dodge,fair,6 cylinders,gas,112404,clean,manual,rwd,full-size,coupe,black,ia,2888
16834,indianapolis,2015,ford,good,8 cylinders,diesel,77837,clean,automatic,fwd,full-size,truck,white,in,28874
16835,albany,1998,BMW,excellent,8 cylinders,gas,100660,clean,other,rwd,full-size,sedan,black,ny,5636
16836,las vegas,1996,bmw,excellent,6 cylinders,gas,14006,clean,other,rwd,mid-size,coupe,black,nv,19822
16837,knoxville,2012,ford,excellent,6 cylinders,diesel,76400,clean,automatic,4wd,full-size,truck,grey,tn,52468
16838,tampa bay area,2000,bmw,like new,6 cylinders,gas,21556,clean,automatic,fwd,mid-size,sedan,silver,fl,2066
16839,ann arbor,2016,audi,like new,4 cylinders,gas,108067,clean,automatic,4wd,full-size,sedan,black,mi,19303
16840,new hampshire,2007,ram,like new,8 cylinders,diesel,17797,clean,automatic,4wd,full-size,truck,white,nh,24767
16841,"st louis, MO",1999,buick,excellent,6 cylinders,gas,117896,clean,automatic,fwd,full-size,sedan,silver,mo,2650
16842,duluth / superior,2015,ram,excellent,6 cylinders,gas,154940,clean,automatic,4wd,full-size,truck,silver,mn,24643
16843,galveston,2011,ford,good,8 cylinders,gas,117868,clean,automatic,rwd,full-size,pickup,black,,21671
16844,appleton-oshkosh-FDL,1997,ford,excellent,8 cylinders,diesel,133588,clean,manual,4wd,full-size,pickup,black,wi,21056
16845,jersey shore,1983,chevrolet,good,8 cylinders,diesel,68750,clean,automatic,4wd,full-size,truck,white,nj,14003
16846,lakeland,2014,chevrolet,excellent,8 cylinders,diesel,168025,rebuilt,automatic,4wd,full-size,pickup,black,fl,36859
16847,central NJ,1988,mercury,good,8 cylinders,gas,130438,clean,manual,fwd,full-size,sedan,blue,nj,5099
16848,long island,1986,chevrolet,excellent,8 cylinders,gas,92610,clean,automatic,rwd,full-size,truck,white,ny,4143
16849,cincinnati,2003,ford,excellent,6 cylinders,gas,108394,clean,automatic,rwd,full-size,pickup,white,oh,17885
16850,atlanta,2007,ｈｙｕｎｄａｉ,excellent,4 cylinders,,123991,clean,automatic,fwd,mid-size,sedan,blue,,7367
16851,portland,2008,dodge,excellent,6 cylinders,gas,113411,clean,automatic,fwd,mid-size,SUV,red,or,5972
16852,boise,1989,FORD,excellent,8 cylinders,diesel,53397,clean,manual,4wd,full-size,pickup,black,id,30692
16853,medford-ashland,2014,TOYOTA,excellent,4 cylinders,gas,197547,clean,automatic,fwd,full-size,hatchback,grey,or,8848
16854,new hampshire,2014,toyota,like new,6 cylinders,gas,94885,clean,automatic,4wd,full-size,SUV,grey,nh,21344
16855,albuquerque,1997,ford,excellent,4 cylinders,gas,127786,clean,manual,4wd,mid-size,SUV,white,nm,5873
16856,sacramento,2013,buick,good,6 cylinders,gas,22756,lien,automatic,fwd,compact,coupe,black,,9036
16857,appleton-oshkosh-FDL,1972,FORD,good,8 cylinders,gas,135774,clean,manual,rwd,full-size,coupe,black,,3572
16858,tulsa,2014,ford,excellent,6 cylinders,gas,161940,rebuilt,automatic,fwd,mid-size,SUV,black,ok,29975
16859,medford-ashland,2014,TOYOTA,excellent,6 cylinders,gas,45583,clean,automatic,fwd,full-size,SUV,black,or,20176
16860,norfolk / hampton roads,2004,buick,excellent,6 cylinders,gas,206313,clean,automatic,fwd,mid-size,sedan,blue,va,7821
16861,sarasota-bradenton,2014,kia,excellent,4 cylinders,gas,101098,salvage,automatic,fwd,compact,sedan,black,fl,13738
16862,new hampshire,2012,MITSUBISHI,good,4 cylinders,gas,159255,,automatic,fwd,mid-size,,silver,nh,6430
16863,tulsa,1988,toyota,fair,6 cylinders,gas,167105,clean,manual,fwd,compact,coupe,red,ok,5111
16864,lynchburg,1982,chevrolet,fair,8 cylinders,gas,104237,clean,manual,rwd,full-size,coupe,green,va,4951
16865,stockton,2009,ford,good,8 cylinders,gas,155602,clean,automatic,4wd,full-size,sedan,black,ca,14233
16866,san luis obispo,2013,ford,good,6 cylinders,gas,137720,,automatic,4wd,full-size,,blue,ca,7483
16867,tucson,2002,chevrolet,fair,6 cylinders,gas,144039,clean,manual,rwd,full-size,coupe,green,,6687
16868,fresno / madera,2016,bmw,excellent,6 cylinders,gas,14054,clean,automatic,rwd,mid-size,coupe,red,ca,57290
16869,utica-rome-oneida,2014,ford,good,6 cylinders,gas,140581,parts only,automatic,fwd,full-size,SUV,red,ny,8417
16870,dayton / springfield,2007,chevrolet,excellent,6 cylinders,gas,125692,clean,manual,fwd,full-size,sedan,black,oh,6943
16871,rochester,2015,ram,like new,8 cylinders,gas,1238,salvage,automatic,4wd,full-size,pickup,black,,18115
16872,boise,2012,hyundai,excellent,4 cylinders,gas,206571,clean,automatic,fwd,mid-size,sedan,black,id,6940
16873,philadelphia,1969,toyota,like new,4 cylinders,gas,37671,clean,manual,rwd,mid-size,coupe,black,pa,9741
16874,new hampshire,1987,ｒａｍ,like new,8 cylinders,diesel,113546,clean,automatic,4wd,full-size,pickup,black,nh,14417
16875,austin,2008,bmw,excellent,6 cylinders,gas,40853,clean,automatic,rwd,mid-size,convertible,black,,18808
16876,"st louis, MO",2011,ford,excellent,8 cylinders,diesel,231052,clean,automatic,4wd,full-size,truck,white,mo,6976
16877,spokane / coeur d'alene,1996,ford,good,8 cylinders,diesel,121378,clean,manual,rwd,full-size,truck,white,id,25535
16878,rapid city / west SD,2010,jeep,excellent,6 cylinders,gas,152801,clean,automatic,4wd,full-size,SUV,silver,sd,16865
16879,columbus,2010,ford,good,4 cylinders,gas,176156,clean,automatic,rwd,full-size,truck,green,oh,5317
16880,albuquerque,2012,bmw,excellent,6 cylinders,gas,94245,clean,manual,rwd,mid-size,truck,black,nm,15371
16881,new york city,2016,jeep,excellent,6 cylinders,gas,96105,clean,other,fwd,compact,SUV,silver,ny,10522
16882,orange county,1980,ford,good,8 cylinders,diesel,54177,clean,manual,rwd,full-size,truck,white,,14343
16883,charlotte,2011,ford,good,8 cylinders,gas,178294,rebuilt,automatic,fwd,mid-size,sedan,black,nc,16525
16884,ocala,2004,toyota,good,6 cylinders,gas,247576,clean,automatic,fwd,compact,sedan,blue,fl,4227
16885,"st louis, MO",2007,ford,excellent,4 cylinders,gas,125577,clean,automatic,fwd,full-size,SUV,white,mo,8186
16886,houston,2009,ford,excellent,4 cylinders,gas,162638,salvage,automatic,fwd,full-size,sedan,black,tx,8380
16887,lexington,2015,jeep,excellent,8 cylinders,,148562,rebuilt,automatic,4wd,full-size,SUV,red,ky,20480
16888,rhode island,2009,bmw,excellent,6 cylinders,gas,249189,clean,manual,fwd,full-size,SUV,black,ri,1913
16889,fort collins / north CO,2012,nissan,excellent,4 cylinders,gas,110754,clean,manual,fwd,mid-size,sedan,silver,co,9965
16890,pueblo,1977,bmw,excellent,4 cylinders,gas,125935,clean,automatic,fwd,full-size,coupe,green,co,1635
16891,appleton-oshkosh-FDL,2003,bmw,excellent,6 cylinders,gas,61944,clean,automatic,rwd,mid-size,coupe,white,,21529
16892,cleveland,1994,ford,fair,6 cylinders,gas,149209,clean,manual,fwd,compact,sedan,silver,oh,2059
16893,hartford,2011,ram,excellent,6 cylinders,gas,60198,clean,automatic,4wd,full-size,pickup,black,ct,20106
16894,omaha / council bluffs,2007,ford,excellent,4 cylinders,gas,107416,clean,automatic,4wd,full-size,pickup,black,ia,18780
16895,charlotte,2012,toyotа,excellent,4 cylinders,,158995,clean,automatic,fwd,full-size,sedan,black,nc,2502
16896,san antonio,2008,volkswagen,good,4 cylinders,gas,91689,rebuilt,manual,fwd,compact,sedan,silver,tx,5802
16897,akron / canton,2008,chevrolet,good,8 cylinders,diesel,83877,clean,automatic,4wd,full-size,truck,white,oh,16292
16898,terre haute,1996,ford,good,4 cylinders,gas,154281,clean,manual,rwd,full-size,sedan,black,,7978
16899,san luis obispo,2014,chevrolet,good,4 cylinders,hybrid,41526,clean,automatic,fwd,full-size,sedan,black,ca,25087
16900,grand island,2017,bmw,excellent,6 cylinders,gas,44087,clean,manual,rwd,mid-size,coupe,white,ne,8569
16901,santa fe / taos,2005,FORD,good,6 cylinders,gas,369934,clean,automatic,fwd,mid-size,van,white,nm,4414
16902,san diego,2013,jeep,like new,6 cylinders,gas,92660,clean,automatic,4wd,full-size,SUV,black,ca,27260
16903,rhode island,2009,bmw,excellent,6 cylinders,gas,173704,clean,automatic,fwd,mid-size,SUV,black,ri,20351
16904,san luis obispo,2003,mazda,good,4 cylinders,gas,180645,clean,manual,fwd,compact,hatchback,silver,,3421
16905,tulsa,2005,chevrolet,good,8 cylinders,gas,274524,clean,manual,rwd,full-size,truck,green,ok,3971
16906,las vegas,2003,chrysler,excellent,6 cylinders,gas,126791,clean,automatic,rwd,mid-size,coupe,blue,nv,4744
16907,southern illinois,2014,ford,excellent,6 cylinders,gas,95384,rebuilt,automatic,4wd,compact,SUV,black,il,13246
16908,tulsa,2009,CHEVROLET,fair,6 cylinders,diesel,225018,clean,automatic,4wd,full-size,truck,black,,5789
16909,san antonio,1998,jeep,fair,6 cylinders,gas,131177,clean,manual,4wd,full-size,pickup,green,tx,20875
16910,louisville,2014,chevrolet,good,8 cylinders,gas,125643,clean,manual,fwd,mid-size,coupe,blue,,6837
16911,toledo,2014,toyota,excellent,4 cylinders,gas,68904,clean,automatic,fwd,mid-size,sedan,black,,14913
16912,tulsa,2014,chevrolet,excellent,6 cylinders,gas,133426,clean,automatic,4wd,mid-size,sedan,black,,5546
16913,central NJ,2009,ford,good,6 cylinders,diesel,152089,clean,automatic,rwd,full-size,SUV,black,nj,26982
16914,treasure coast,2010,bmw,excellent,6 cylinders,gas,52459,clean,automatic,fwd,full-size,sedan,green,fl,18719
16915,south jersey,2015,volkswagen,excellent,4 cylinders,gas,85340,clean,automatic,fwd,compact,sedan,grey,,5372
16916,central NJ,2016,infiniti,excellent,6 cylinders,gas,118899,clean,automatic,fwd,mid-size,SUV,blue,nj,12581
16917,wichita,2012,nissan,good,4 cylinders,,170340,clean,automatic,fwd,mid-size,sedan,silver,ks,4138
16918,san antonio,2014,honda,excellent,6 cylinders,gas,77807,clean,manual,fwd,mid-size,sedan,blue,tx,5640
16919,grand rapids,2017,buick,excellent,6 cylinders,gas,70740,clean,automatic,rwd,mid-size,SUV,silver,mi,27048
16920,pittsburgh,2013,infiniti,excellent,4 cylinders,,76940,clean,automatic,fwd,mid-size,SUV,brown,pa,7347
16921,south bend / michiana,2010,ford,good,6 cylinders,gas,167739,clean,other,fwd,full-size,van,grey,in,8481
16922,denver,2004,dodge,excellent,6 cylinders,gas,209439,clean,manual,fwd,mid-size,sedan,silver,co,9130
16923,norfolk / hampton roads,2007,buick,excellent,6 cylinders,gas,11613,clean,automatic,rwd,mid-size,sedan,silver,va,11486
16924,oklahoma city,2017,ram,like new,6 cylinders,diesel,10685,clean,automatic,rwd,full-size,pickup,blue,ok,14895
16925,central NJ,2009,toyota,good,4 cylinders,gas,149721,clean,automatic,fwd,full-size,SUV,silver,nj,4695
16926,orange county,2016,bmw,excellent,6 cylinders,diesel,52157,clean,automatic,4wd,mid-size,SUV,black,ca,25304
16927,richmond,2011,RAM,excellent,8 cylinders,diesel,113314,clean,automatic,4wd,full-size,truck,black,va,16671
16928,central NJ,2009,buick,excellent,4 cylinders,gas,215223,clean,automatic,fwd,full-size,sedan,silver,nj,2894
16929,lehigh valley,2007,toyota,good,4 cylinders,gas,146116,clean,automatic,fwd,compact,sedan,green,pa,3255
16930,killeen / temple / ft hood,2008,jeep,excellent,4 cylinders,gas,47336,rebuilt,automatic,4wd,mid-size,sedan,silver,tx,22700
16931,laredo,2018,ford,excellent,6 cylinders,gas,91689,clean,automatic,4wd,full-size,truck,brown,tx,17936
16932,reno / tahoe,2013,bmw,excellent,6 cylinders,gas,104157,clean,automatic,4wd,mid-size,SUV,black,ca,29889
16933,syracuse,2010,ford,excellent,4 cylinders,gas,82032,clean,automatic,fwd,full-size,sedan,black,ny,6447
16934,omaha / council bluffs,2015,bmw,excellent,6 cylinders,gas,4666,rebuilt,automatic,fwd,mid-size,sedan,grey,ia,24177
16935,lakeland,2005,honda,like new,5 cylinders,gas,84750,rebuilt,manual,fwd,compact,coupe,silver,fl,5103
16936,anchorage / mat-su,2017,volkswagen,excellent,4 cylinders,,116414,clean,manual,fwd,mid-size,sedan,silver,,4943
16937,reno / tahoe,2012,jeep,excellent,6 cylinders,gas,162056,clean,automatic,4wd,mid-size,SUV,black,ca,9369
16938,new hampshire,2011,toyota,excellent,4 cylinders,gas,205541,rebuilt,automatic,fwd,mid-size,wagon,silver,nh,12422
16939,western slope,2012,honda,like new,4 cylinders,gas,114150,clean,manual,fwd,compact,sedan,blue,co,9662
16940,dallas / fort worth,2017,chevrolet,excellent,4 cylinders,gas,12960,lien,automatic,fwd,mid-size,sedan,silver,tx,15148
16941,bakersfield,2002,FORD,good,8 cylinders,gas,144161,lien,automatic,rwd,full-size,sedan,black,ca,7245
16942,tulsa,2005,chevrolet,good,6 cylinders,gas,289557,clean,automatic,4wd,full-size,truck,custom,ok,2576
16943,vermont,2017,subaru,like new,4 cylinders,gas,288105,rebuilt,manual,fwd,compact,wagon,blue,vt,9379
16944,rhode island,1989,chevrolet,fair,6 cylinders,gas,86260,parts only,automatic,4wd,full-size,SUV,blue,ri,6729
16945,santa barbara,2002,JEEP,like new,6 cylinders,gas,145337,clean,automatic,4wd,full-size,offroad,black,ca,32774
16946,rochester,2006,jeep,excellent,6 cylinders,gas,141105,,manual,fwd,mid-size,,red,,9450
16947,las vegas,2013,honda,excellent,6 cylinders,gas,54274,clean,automatic,rwd,full-size,sedan,red,nv,12213
16948,clovis / portales,1986,chevrolet,fair,8 cylinders,gas,178822,clean,manual,rwd,full-size,coupe,green,nm,2703
16949,charleston,2008,ram,fair,8 cylinders,gas,173731,clean,automatic,4wd,full-size,SUV,white,sc,12459
16950,south coast,1998,ford,fair,6 cylinders,gas,160956,clean,automatic,rwd,full-size,truck,blue,ma,8257
16951,chattanooga,1996,jeep,excellent,6 cylinders,gas,146927,clean,automatic,rwd,mid-size,SUV,red,tn,35103
16952,redding,2014,lincoln,excellent,6 cylinders,gas,161160,clean,manual,4wd,mid-size,sedan,grey,ca,11509
16953,central NJ,2013,ford,excellent,6 cylinders,gas,97281,clean,automatic,fwd,full-size,SUV,blue,nj,8198
16954,bakersfield,2013,TOYOTA,excellent,4 cylinders,gas,142509,clean,automatic,fwd,compact,sedan,silver,ca,6705
16955,indianapolis,2006,acura,excellent,6 cylinders,gas,129788,rebuilt,automatic,4wd,full-size,SUV,black,in,10756
16956,jacksonville,2006,bmw,excellent,6 cylinders,gas,44699,clean,automatic,rwd,mid-size,coupe,black,fl,16216
16957,bend,2010,ford,excellent,6 cylinders,gas,101234,clean,automatic,4wd,mid-size,pickup,black,or,7417
16958,albuquerque,2010,FORD,excellent,8 cylinders,gas,121342,clean,automatic,fwd,full-size,sedan,red,nm,7562
16959,western slope,2019,ford,good,4 cylinders,gas,45603,clean,automatic,4wd,mid-size,SUV,white,co,8948
16960,albany,2017,HONDA,good,4 cylinders,gas,34261,clean,other,fwd,mid-size,hatchback,white,ny,19518
16961,flint,2016,ford,like new,6 cylinders,gas,49772,rebuilt,automatic,fwd,mid-size,coupe,white,mi,26604
16962,east oregon,2013,chevrolet,excellent,4 cylinders,gas,111997,rebuilt,automatic,fwd,full-size,SUV,black,or,17304
16963,gulfport / biloxi,2005,ford,fair,4 cylinders,gas,200904,clean,manual,fwd,compact,hatchback,custom,ms,1555
16964,rochester,2006,toyota,excellent,4 cylinders,gas,188628,clean,manual,fwd,mid-size,hatchback,silver,,4809
16965,rochester,2004,ford,excellent,6 cylinders,gas,111060,clean,automatic,4wd,full-size,truck,black,ny,11959
16966,eau claire,1993,honda,good,4 cylinders,gas,139680,rebuilt,automatic,fwd,mid-size,coupe,blue,wi,3155
16967,st cloud,2011,toyota,excellent,8 cylinders,gas,167451,clean,manual,4wd,full-size,SUV,red,mn,22186
16968,erie,2011,ford,like new,4 cylinders,gas,22121,clean,other,fwd,full-size,sedan,white,pa,46091
16969,san diego,2021,hyundai,excellent,4 cylinders,gas,9237,rebuilt,automatic,fwd,mid-size,sedan,blue,,10311
16970,missoula,2012,ford,excellent,6 cylinders,gas,109953,clean,automatic,fwd,full-size,SUV,blue,mt,7701
16971,philadelphia,2013,ford,good,4 cylinders,gas,127431,clean,automatic,fwd,compact,sedan,silver,pa,3431
16972,south jersey,1996,FORD,excellent,8 cylinders,gas,101824,clean,automatic,rwd,full-size,coupe,black,nj,3279
16973,el paso,2016,audi,excellent,4 cylinders,,171681,rebuilt,manual,fwd,compact,SUV,black,tx,16765
16974,milwaukee,2014,ford,excellent,6 cylinders,diesel,73471,,automatic,4wd,full-size,,blue,wi,53144
16975,knoxville,2003,hyundai,fair,4 cylinders,gas,170726,clean,manual,fwd,mid-size,sedan,red,tn,3351
16976,daytona beach,2009,chevrolet,excellent,8 cylinders,diesel,173801,clean,automatic,rwd,full-size,pickup,blue,fl,18380
16977,san diego,2013,ford,good,4 cylinders,gas,70469,clean,automatic,fwd,full-size,truck,white,ca,16765
16978,rochester,2007,chevrolet,excellent,8 cylinders,gas,125189,clean,automatic,4wd,full-size,SUV,black,ny,3359
16979,central NJ,2011,kia,excellent,4 cylinders,gas,78642,salvage,automatic,fwd,mid-size,sedan,black,nj,7514
16980,south florida,2011,bmw,excellent,6 cylinders,gas,82626,clean,automatic,fwd,mid-size,coupe,silver,fl,20407
16981,seattle-tacoma,2013,jeep,good,6 cylinders,gas,210050,clean,other,4wd,full-size,sedan,black,wa,5997
16982,rapid city / west SD,1999,jeep,fair,6 cylinders,gas,180091,clean,automatic,rwd,full-size,SUV,blue,sd,30435
